well_name,timestamp,gas_prod,oil_prod,water_prod,tubing_pressure,casing_pressure,line_pressure
WL03,2023-07-17 00:00:00,180.58,0.0,0.2,33.99,94.12,96.63
WL03,2023-07-16 00:00:00,185.06,0.0,0.4,18.14,93.38,96.03
WL03,2023-07-15 00:00:00,194.4,0.0,0.35,30.56,93.01,95.9
WL03,2023-07-14 00:00:00,358.96,0.0,0.13,2.94,94.37,107.3
WL03,2023-07-13 00:00:00,366.8,0.0,0.38,58.18,131.13,104.41
WL03,2023-07-12 00:00:00,207.93,0.0,0.29,12.26,142.11,102.92
WL03,2023-07-11 00:00:00,178.51,0.0,0.4,91.19,190.34,103.76
WL03,2023-07-10 00:00:00,188.27,0.0,0.49,31.05,94.24,103.55
WL03,2023-07-09 00:00:00,187.84,0.0,0.34,33.5,93.13,103.76
WL03,2023-07-08 00:00:00,191.61,0.0,0.24,91.85,93.38,103.5
WL03,2023-07-07 00:00:00,191.65,0.0,0.43,27.13,95.11,103.57
WL03,2023-07-06 00:00:00,193.3,0.0,0.65,15.53,93.26,103.6
WL03,2023-07-05 00:00:00,194.13,0.0,1.59,13.4,93.87,103.87
WL03,2023-07-04 00:00:00,194.64,0.0,1.08,21.41,93.5,104.07
WL03,2023-07-03 00:00:00,195.81,0.0,1.43,1.14,95.35,101.04
WL03,2023-07-02 00:00:00,197.1,0.0,1.32,37.26,94.61,99.89
WL03,2023-07-01 00:00:00,199.18,0.0,1.31,27.95,95.11,99.49
WL03,2023-06-30 00:00:00,204.71,0.0,1.32,14.38,94.24,98.62
WL03,2023-06-29 00:00:00,215.27,0.0,0.78,25.0,97.33,97.55
WL03,2023-06-28 00:00:00,239.58,0.0,0.62,38.57,96.34,96.85
WL03,2023-06-27 00:00:00,239.97,0.0,0.54,9.48,125.58,96.27
WL03,2023-06-26 00:00:00,157.39,0.0,0.05,89.07,101.27,95.68
WL03,2023-06-25 00:00:00,190.54,0.0,0.12,82.2,91.28,93.96
WL03,2023-06-24 00:00:00,189.71,0.0,0.16,28.76,90.17,93.76
WL03,2023-06-23 00:00:00,189.11,0.0,0.14,36.12,90.91,92.22
WL03,2023-06-22 00:00:00,189.96,0.0,0.18,3.11,90.79,96.48
WL03,2023-06-21 00:00:00,191.94,0.0,0.33,7.84,91.28,96.99
WL03,2023-06-20 00:00:00,194.14,0.0,0.51,46.58,92.76,95.69
WL03,2023-06-19 00:00:00,195.15,0.0,0.55,23.37,92.76,95.14
WL03,2023-06-18 00:00:00,205.09,0.0,0.46,1.47,93.26,96.05
WL03,2023-06-17 00:00:00,173.97,0.0,0.17,3.76,92.76,95.45
WL03,2023-06-16 00:00:00,189.88,0.0,0.27,82.2,102.63,94.88
WL03,2023-06-15 00:00:00,193.19,0.0,0.33,42.98,90.91,95.6
WL03,2023-06-14 00:00:00,193.09,0.0,0.37,35.79,94.12,94.41
WL03,2023-06-13 00:00:00,197.57,0.0,0.33,34.97,93.13,98.51
WL03,2023-06-12 00:00:00,201.85,0.0,0.37,13.4,92.52,97.63
WL03,2023-06-11 00:00:00,203.68,0.0,0.42,26.97,94.49,97.03
WL03,2023-06-10 00:00:00,205.64,0.0,0.47,38.08,93.63,96.68
WL03,2023-06-09 00:00:00,213.22,0.0,0.33,42.49,93.75,95.15
WL03,2023-06-08 00:00:00,223.09,0.0,0.13,29.74,96.83,95.41
WL03,2023-06-07 00:00:00,195.67,0.0,0.2,25.49,89.19,94.23
WL03,2023-06-06 00:00:00,180.6,0.0,0.42,83.84,107.94,94.87
WL03,2023-06-05 00:00:00,247.68,0.0,0.23,31.7,89.56,93.98
WL03,2023-06-04 00:00:00,179.07,0.0,0.44,25.0,133.47,95.33
WL03,2023-06-03 00:00:00,188.23,0.0,0.18,14.54,88.69,94.22
WL03,2023-06-02 00:00:00,177.35,0.0,0.39,15.85,89.68,93.13
WL03,2023-06-01 00:00:00,179.58,0.0,0.45,9.15,90.79,96.65
WL03,2023-05-31 00:00:00,200.09,0.0,0.21,19.77,89.8,97.7
WL03,2023-05-30 00:00:00,177.14,0.0,0.1,3.43,119.41,98.02
WL03,2023-05-29 00:00:00,174.5,0.0,0.4,89.39,149.75,96.74
WL03,2023-05-28 00:00:00,177.9,0.0,0.44,15.69,86.6,95.27
WL03,2023-05-27 00:00:00,190.33,0.0,0.16,25.17,88.45,96.41
WL03,2023-05-26 00:00:00,173.56,0.0,0.43,19.12,86.35,97.18
WL03,2023-05-25 00:00:00,172.55,0.0,0.36,11.11,86.72,96.02
WL03,2023-05-24 00:00:00,172.87,0.0,0.42,10.62,87.21,97.02
WL03,2023-05-23 00:00:00,171.42,0.0,0.14,23.21,86.84,95.9
WL03,2023-05-22 00:00:00,171.24,0.0,0.39,35.63,86.97,94.9
WL03,2023-05-21 00:00:00,173.6,0.0,0.43,25.98,90.3,94.69
